policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"116302","https://j-izumi.com/policy/116302/detail","令和8年度 商工業活性化事業補助金","","","","","100万円","★☆☆☆☆","要相談","要相談","https://www.city.iwaki.lg.jp//www/contents/1768803498553/index.html","https://www.city.iwaki.lg.jp//www/contents/1768803498553/index.html",""
"116303","https://j-izumi.com/policy/116303/detail","令和7年度 医療機関等高熱費等高騰対策特別給付金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.asago.hyogo.jp/soshiki/22/23994.html","https://www.city.asago.hyogo.jp/soshiki/22/23994.html",""
"116304","https://j-izumi.com/policy/116304/detail","令和8年度 町民まちづくり活動応援補助金","","","","","30万円","★☆☆☆☆","要相談","要相談","https://www.town.urausu.hokkaido.jp/kurashi/gyosei/catetemp3_kakuka/catetemp4_kikaku/matizukurihojyokin.html","https://www.town.urausu.hokkaido.jp/kurashi/gyosei/catetemp3_kakuka/catetemp4_kikaku/matizukurihojyokin.html",""
"116306","https://j-izumi.com/policy/116306/detail","令和8年度 地域貢献促進事業費補助金","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.town.minamiise.lg.jp/admin/shoshiki/machizukuri/2532.html","https://www.town.minamiise.lg.jp/admin/shoshiki/machizukuri/2532.html",""
"116307","https://j-izumi.com/policy/116307/detail","6次産業化施設整備等支援事業費補助金","","","","","50万円","★☆☆☆☆","要相談","要相談","https://www.city.murayama.lg.jp/kurashi/nou_syou_kou/norin/nouringyoukannkeihoj/6jihojokin.html","https://www.city.murayama.lg.jp/kurashi/nou_syou_kou/norin/nouringyoukannkeihoj/6jihojokin.html",""
"116308","https://j-izumi.com/policy/116308/detail","6次産業化商品開発等支援事業費補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.murayama.lg.jp/kurashi/nou_syou_kou/norin/nouringyoukannkeihoj/6jihojokin.html#:~:text=%E6%9D%91%E5%B1%B1%E5%B8%826%E6%AC%A1%E7%94%A3%E6%A5%AD%E5%8C%96%E5%95%86%E5%93%81%E9%96%8B%E7%99%BA%E7%AD%89%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%E8%B2%BB%E8%A3%9C%E5%8A%A9%E9%87%91","https://www.city.murayama.lg.jp/kurashi/nou_syou_kou/norin/nouringyoukannkeihoj/6jihojokin.html#:~:text=%E6%9D%91%E5%B1%B1%E5%B8%826%E6%AC%A1%E7%94%A3%E6%A5%AD%E5%8C%96%E5%95%86%E5%93%81%E9%96%8B%E7%99%BA%E7%AD%89%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%E8%B2%BB%E8%A3%9C%E5%8A%A9%E9%87%91",""
"116309","https://j-izumi.com/policy/116309/detail","施設用園芸ハウス設置整備事業","","","","","330万円","★★☆☆☆","要相談","要相談","https://tochi-no.jp/guide/guide05/#:~:text=%E3%82%A8%E3%83%AA%E3%82%A2%EF%BC%9A%E8%8A%B3%E8%B3%80%E7%94%BA-,%E6%96%BD%E8%A8%AD%E7%94%A8%E5%9C%92%E8%8A%B8%E3%83%8F%E3%82%A6%E3%82%B9%E8%A8%AD%E7%BD%AE%E6%95%B4%E5%82%99%E4%BA%8B%E6%A5%AD,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90","https://tochi-no.jp/guide/guide05/#:~:text=%E3%82%A8%E3%83%AA%E3%82%A2%EF%BC%9A%E8%8A%B3%E8%B3%80%E7%94%BA-,%E6%96%BD%E8%A8%AD%E7%94%A8%E5%9C%92%E8%8A%B8%E3%83%8F%E3%82%A6%E3%82%B9%E8%A8%AD%E7%BD%AE%E6%95%B4%E5%82%99%E4%BA%8B%E6%A5%AD,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90",""
"116310","https://j-izumi.com/policy/116310/detail","施設野菜及び露地野菜病害虫防除事業","","","","","","★☆☆☆☆","要相談","要相談","https://tochi-no.jp/guide/guide05/#:~:text=%E3%82%A8%E3%83%AA%E3%82%A2%EF%BC%9A%E8%8A%B3%E8%B3%80%E7%94%BA-,%E6%96%BD%E8%A8%AD%E9%87%8E%E8%8F%9C%E5%8F%8A%E3%81%B3%E9%9C%B2%E5%9C%B0%E9%87%8E%E8%8F%9C%E7%97%85%E5%AE%B3%E8%99%AB%E9%98%B2%E9%99%A4%E4%BA%8B%E6%A5%AD,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90","https://tochi-no.jp/guide/guide05/#:~:text=%E3%82%A8%E3%83%AA%E3%82%A2%EF%BC%9A%E8%8A%B3%E8%B3%80%E7%94%BA-,%E6%96%BD%E8%A8%AD%E9%87%8E%E8%8F%9C%E5%8F%8A%E3%81%B3%E9%9C%B2%E5%9C%B0%E9%87%8E%E8%8F%9C%E7%97%85%E5%AE%B3%E8%99%AB%E9%98%B2%E9%99%A4%E4%BA%8B%E6%A5%AD,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90",""
"116312","https://j-izumi.com/policy/116312/detail","梨栽培拡大事業費補助金","","","","","","★☆☆☆☆","要相談","要相談","https://tochi-no.jp/guide/guide05/#:~:text=%E8%8A%B3%E8%B3%80%E7%94%BA-,%E6%A2%A8%E6%A0%BD%E5%9F%B9%E6%8B%A1%E5%A4%A7%E4%BA%8B%E6%A5%AD%E8%B2%BB%E8%A3%9C%E5%8A%A9%E9%87%91,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90","https://tochi-no.jp/guide/guide05/#:~:text=%E8%8A%B3%E8%B3%80%E7%94%BA-,%E6%A2%A8%E6%A0%BD%E5%9F%B9%E6%8B%A1%E5%A4%A7%E4%BA%8B%E6%A5%AD%E8%B2%BB%E8%A3%9C%E5%8A%A9%E9%87%91,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90",""
"116313","https://j-izumi.com/policy/116313/detail","令和7年度 まちなか活性化事業補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.city.nagai.yamagata.jp/soshiki/shoshin/105/202/hojyokin/14867.html","https://www.city.nagai.yamagata.jp/soshiki/shoshin/105/202/hojyokin/14867.html",""
"116314","https://j-izumi.com/policy/116314/detail","アグリサポート事業","","","","","200万円","★★☆☆☆","要相談","要相談","https://www.town.mibu.tochigi.jp/docs/2016122200011/file_contents/agr.pdf","https://www.town.mibu.tochigi.jp/docs/2016122200011/#:~:text=%E2%97%8B%E5%A3%AC%E7%94%9F%E7%94%BA-,%E3%82%A2%E3%82%B0%E3%83%AA%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E4%BA%8B%E6%A5%AD,-%EF%BC%88%E7%94%BA%E5%8D%98%E7%8B%AC%E4%BA%8B%E6%A5%AD | https://www.town.mibu.tochigi.jp/docs/2016122200011/file_contents/agr.pdf",""
"116315","https://j-izumi.com/policy/116315/detail","令和7年度 芸術文化振興事業費補助金","","","","","5万円","★☆☆☆☆","要相談","要相談","https://www.city.nagai.yamagata.jp/soshiki/kankobunka/104/b2/13867.html","https://www.city.nagai.yamagata.jp/soshiki/kankobunka/104/b2/13867.html",""
"116316","https://j-izumi.com/policy/116316/detail","経営資源有効活用リフォーム支援事業（上乗せ）","","","","","250万円","★★☆☆☆","要相談","要相談","https://tochi-no.jp/guide/guide05/#:~:text=%E7%B5%8C%E5%96%B6%E8%B3%87%E6%BA%90%E6%9C%89%E5%8A%B9%E6%B4%BB%E7%94%A8%E3%83%AA%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%EF%BC%88%E4%B8%8A%E4%B9%97%E3%81%9B%EF%BC%89","https://tochi-no.jp/guide/guide05/#:~:text=%E7%B5%8C%E5%96%B6%E8%B3%87%E6%BA%90%E6%9C%89%E5%8A%B9%E6%B4%BB%E7%94%A8%E3%83%AA%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%EF%BC%88%E4%B8%8A%E4%B9%97%E3%81%9B%EF%BC%89",""
"116318","https://j-izumi.com/policy/116318/detail","園芸作物推進支援事業費補助金","","","","","200万円","★☆☆☆☆","要相談","要相談","https://www.town.takanezawa.tochigi.jp/biz/nogyo/nogyo/shinko/2016-0404-1715-88.html","https://www.town.takanezawa.tochigi.jp/biz/nogyo/nogyo/shinko/2016-0404-1715-88.html",""
"116320","https://j-izumi.com/policy/116320/detail","園芸作物推進支援事業","","","","","50万円","☆☆☆☆☆","要相談","要相談","https://www.town.nasu.lg.jp/0188/info-0000000080-1.html","https://www.town.nasu.lg.jp/0188/info-0000000080-1.html",""
"116325","https://j-izumi.com/policy/116325/detail","令和7年度 自主防災組織活動費補助金","","","","","3万円","★☆☆☆☆","要相談","要相談","https://www.city.nagai.yamagata.jp/soshiki/kikikanri/101/208/1/5/5201.html","https://www.city.nagai.yamagata.jp/soshiki/kikikanri/101/208/1/5/5201.html",""
"116326","https://j-izumi.com/policy/116326/detail","農業後継者育成支援事業 農業研修支援交付金","","","","","2万円/月","★☆☆☆☆","要相談","要相談","https://tochi-no.jp/guide/guide05/#:~:text=%E8%BE%B2%E6%A5%AD%E5%BE%8C%E7%B6%99%E8%80%85%E8%82%B2%E6%88%90%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%20%E8%BE%B2%E6%A5%AD%E7%A0%94%E4%BF%AE%E6%94%AF%E6%8F%B4%E4%BA%A4%E4%BB%98%E9%87%91","https://tochi-no.jp/guide/guide05/#:~:text=%E8%BE%B2%E6%A5%AD%E5%BE%8C%E7%B6%99%E8%80%85%E8%82%B2%E6%88%90%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%20%E8%BE%B2%E6%A5%AD%E7%A0%94%E4%BF%AE%E6%94%AF%E6%8F%B4%E4%BA%A4%E4%BB%98%E9%87%91",""
"116327","https://j-izumi.com/policy/116327/detail","令和7年度 中小企業者採用試験を受験する県外居住者の交通費⽀援補助⾦","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.pref.tottori.lg.jp/secure/1281695/R7chirashi.pdf","https://www.pref.tottori.lg.jp/303953.htm | https://www.pref.tottori.lg.jp/secure/1281695/R7chirashi.pdf",""
"116328","https://j-izumi.com/policy/116328/detail","農業後継者育成支援事業（新規就農支援制度）農業後継者支援交付金・農業後継者機械整備支援費補助金","","","","","200万円","★☆☆☆☆","要相談","要相談","https://tochi-no.jp/guide/guide05/#:~:text=%E8%BE%B2%E6%A5%AD%E5%BE%8C%E7%B6%99%E8%80%85%E8%82%B2%E6%88%90%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%20%E8%BE%B2%E6%A5%AD%E5%BE%8C%E7%B6%99%E8%80%85%E6%A9%9F%E6%A2%B0%E6%95%B4%E5%82%99%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%E8%B2%BB%E8%A3%9C%E5%8A%A9%E9%87%91","https://tochi-no.jp/guide/guide05/#:~:text=%E8%BE%B2%E6%A5%AD%E5%BE%8C%E7%B6%99%E8%80%85%E8%82%B2%E6%88%90%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%20%E8%BE%B2%E6%A5%AD%E5%BE%8C%E7%B6%99%E8%80%85%E6%A9%9F%E6%A2%B0%E6%95%B4%E5%82%99%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%E8%B2%BB%E8%A3%9C%E5%8A%A9%E9%87%91",""
"116329","https://j-izumi.com/policy/116329/detail","令和7年度 暖冬・少雪対策利子補給事業補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.nagai.yamagata.jp/soshiki/shoshin/105/202/hojyokin/14866.html","https://www.city.nagai.yamagata.jp/soshiki/shoshin/105/202/hojyokin/14866.html",""
"116330","https://j-izumi.com/policy/116330/detail","農作業受託組織等体制整備支援事業","","","","","","★★☆☆☆","要相談","要相談","https://tochi-no.jp/guide/guide05/#:~:text=%E3%82%A8%E3%83%AA%E3%82%A2%EF%BC%9A%E9%82%A3%E7%8F%82%E5%B7%9D%E7%94%BA-,%E8%BE%B2%E4%BD%9C%E6%A5%AD%E5%8F%97%E8%A8%97%E7%B5%84%E7%B9%94%E7%AD%89%E4%BD%93%E5%88%B6%E6%95%B4%E5%82%99%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90","https://tochi-no.jp/guide/guide05/#:~:text=%E3%82%A8%E3%83%AA%E3%82%A2%EF%BC%9A%E9%82%A3%E7%8F%82%E5%B7%9D%E7%94%BA-,%E8%BE%B2%E4%BD%9C%E6%A5%AD%E5%8F%97%E8%A8%97%E7%B5%84%E7%B9%94%E7%AD%89%E4%BD%93%E5%88%B6%E6%95%B4%E5%82%99%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90",""
"116332","https://j-izumi.com/policy/116332/detail","農作物等鳥獣被害防止対策事業","","","","","5万円","★☆☆☆☆","要相談","要相談","https://tochi-no.jp/guide/guide05/#:~:text=%E3%82%A8%E3%83%AA%E3%82%A2%EF%BC%9A%E9%82%A3%E7%8F%82%E5%B7%9D%E7%94%BA-,%E8%BE%B2%E4%BD%9C%E7%89%A9%E7%AD%89%E9%B3%A5%E7%8D%A3%E8%A2%AB%E5%AE%B3%E9%98%B2%E6%AD%A2%E5%AF%BE%E7%AD%96%E4%BA%8B%E6%A5%AD,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90","https://tochi-no.jp/guide/guide05/#:~:text=%E3%82%A8%E3%83%AA%E3%82%A2%EF%BC%9A%E9%82%A3%E7%8F%82%E5%B7%9D%E7%94%BA-,%E8%BE%B2%E4%BD%9C%E7%89%A9%E7%AD%89%E9%B3%A5%E7%8D%A3%E8%A2%AB%E5%AE%B3%E9%98%B2%E6%AD%A2%E5%AF%BE%E7%AD%96%E4%BA%8B%E6%A5%AD,-%E5%96%B6%E8%BE%B2%E8%B2%BB%E7%94%A8%E5%8A%A9%E6%88%90",""
"116333","https://j-izumi.com/policy/116333/detail","手話通訳者等派遣費及び点字資料等作成費補助金","","","","","10万円","★☆☆☆☆","要相談","要相談","https://www.pref.tottori.lg.jp/292477.htm","https://www.pref.tottori.lg.jp/292477.htm",""
"116336","https://j-izumi.com/policy/116336/detail","合理的配慮の提供の実践に向けた普及啓発活動等支援補助金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.pref.tottori.lg.jp/317571.htm","https://www.pref.tottori.lg.jp/317571.htm",""
"116337","https://j-izumi.com/policy/116337/detail","令和7年度 介護事業所等物価高騰に関する緊急対策給付金（2025年12月開始分）","","","","","10万円/施設","★☆☆☆☆","要相談","要相談","https://www.city.shimanto.lg.jp/soshiki/10/23682.html","https://www.city.shimanto.lg.jp/soshiki/10/23682.html",""
"116339","https://j-izumi.com/policy/116339/detail","令和7年度 燃料価格等高騰に伴う運送事業者支援事業費補助金","","","","","100万円/事業者","★☆☆☆☆","要相談","要相談","https://www.city.gotemba.lg.jp/sangyou/kanri/assets/uploads/2026/01/092985d4597f28f471ffac184905bc95.pdf","https://www.city.gotemba.lg.jp/sangyou/f-3/f-3-2/7507.html | https://www.city.gotemba.lg.jp/sangyou/kanri/assets/uploads/2026/01/092985d4597f28f471ffac184905bc95.pdf",""
"116341","https://j-izumi.com/policy/116341/detail","事業者等エネルギー価格高騰対策支援金","","","","","20万円","★☆☆☆☆","要相談","要相談","https://www.town.kuriyama.hokkaido.jp/uploaded/life/34629_56328_misc.pdf","https://www.town.kuriyama.hokkaido.jp/soshiki/51/34629.html | https://www.town.kuriyama.hokkaido.jp/uploaded/life/34629_56328_misc.pdf",""
"116344","https://j-izumi.com/policy/116344/detail","令和8年度 事業継続設備投資促進補助金","","","","","50万円","★☆☆☆☆","要相談","要相談","https://www.city.hida.gifu.jp/uploaded/attachment/32850.pdf","https://www.city.hida.gifu.jp/soshiki/14/79867.html | https://www.city.hida.gifu.jp/uploaded/attachment/32850.pdf",""
"116345","https://j-izumi.com/policy/116345/detail","利子補給制度・信用保証料補助制度","","","","","30万円","★☆☆☆☆","要相談","要相談","https://shonan.or.jp/yushi/fcsubsidy/#rishihokyu2023","https://shonan.or.jp/yushi/fcsubsidy/#rishihokyu2023",""
"116346","https://j-izumi.com/policy/116346/detail","2026年度 新エネルギー等のシーズ発掘・事業化に向けた技術研究開発事業（新エネ中小・スタートアップ支援制度および未来型新エネ実証制度）","","","","","","","要相談","要相談","https://www.nedo.go.jp/koubo/FF1_100451.html","https://www.nedo.go.jp/koubo/FF1_100451.html",""
"116347","https://j-izumi.com/policy/116347/detail","令和8年度 農山漁村振興交付金（山村活性化対策（山村活性化対策事業））","","","","","1,000万円","★★★★☆","要相談","要相談","https://www.maff.go.jp/j/nousin/tiiki/sanson/r8bosyu1.html","https://www.maff.go.jp/j/nousin/tiiki/sanson/r8bosyu1.html",""
"116348","https://j-izumi.com/policy/116348/detail","ポスト5G情報通信システム基盤強化研究開発事業／競争力ある生成AI基盤モデルの開発（GENIAC）","","","","","","★★★★★","要相談","要相談","https://www.nedo.go.jp/koubo/CD2_100421.html","https://www.nedo.go.jp/koubo/CD2_100421.html",""
"116350","https://j-izumi.com/policy/116350/detail","令和8年度 強い農業づくり総合支援交付金（食料システム構築支援タイプ（全国の取組））＜1回目公募＞","","","","","","★★★★★","要相談","要相談","https://www.maff.go.jp/j/supply/hozyo/nousan/260127_111-1.html","https://www.maff.go.jp/j/supply/hozyo/nousan/260127_111-1.html",""
"116352","https://j-izumi.com/policy/116352/detail","令和8年度 原子力発電の制度整備のための国際協力事業費補助金","","","","","1憶9000万円","★★★★★","要相談","要相談","https://www.enecho.meti.go.jp/appli/public_offer/2025/0127_01.html","https://www.enecho.meti.go.jp/appli/public_offer/2025/0127_01.html",""
"116353","https://j-izumi.com/policy/116353/detail","令和7年度 医療機関等における賃上げ・物価上昇支援事業","","","","","","★☆☆☆☆","要相談","要相談","https://www.mhlw.go.jp/stf/newpage_69485.html","https://www.mhlw.go.jp/stf/newpage_69485.html",""
"116354","https://j-izumi.com/policy/116354/detail","令和8年度 困難な問題を抱える女性への支援の推進に資する取組に関する調査研究事業","","","","","2,169万2,000円","","要相談","要相談","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/seikatsuhogo/jjoseishien_r7_tyousakenkyu00001_00003.html","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/seikatsuhogo/jjoseishien_r7_tyousakenkyu00001_00003.html",""
"116355","https://j-izumi.com/policy/116355/detail","令和7年12月補正予算 物価高騰対策賃上げ支援金","","","","","6万円/人＋加算","","要相談","要相談","https://www.pref.iwate.jp/sangyoukoyou/koyouroudou/oshirase/1080190.html","https://www.pref.iwate.jp/sangyoukoyou/koyouroudou/oshirase/1080190.html",""
"116357","https://j-izumi.com/policy/116357/detail","令和8年度 困難な問題を抱える女性への支援に関する プラットフォーム構築事業","","","","","3,629万4,000円","★★★★★","要相談","要相談","https://anata-no-mikata.mhlw.go.jp/","https://anata-no-mikata.mhlw.go.jp/ | https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/seikatsuhogo/jyoseishien_r5_00007.html",""
"116366","https://j-izumi.com/policy/116366/detail","地域密着型サービス事業所向け研修","","","","","","★☆☆☆☆","要相談","要相談","https://www.pref.kumamoto.jp/uploaded/attachment/299772.pdf","https://www.pref.kumamoto.jp/site/kaigo/257087.html | https://www.pref.kumamoto.jp/uploaded/attachment/299772.pdf",""
