policy_id,detail_url,title,issuer,area,publish_date,period,max_amount,difficulty,start_fee,success_fee,support_url,support_urls_all,error
"3700","https://j-izumi.com/policy/3700/detail","壁面緑化助成制度","","","","","40万円","★☆☆☆☆","要相談","要相談","https://www.city.itabashi.tokyo.jp/_res/projects/default_project/_page_/001/006/666/2.pdf","http://www.city.itabashi.tokyo.jp/c_kurashi/035/035138.html | https://www.city.itabashi.tokyo.jp/bousai/ryokuka/josei/1006666.html | https://www.city.itabashi.tokyo.jp/_res/projects/default_project/_page_/001/006/666/2.pdf",""
"3706","https://j-izumi.com/policy/3706/detail","私道整備・私道排水設備設置助成","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.itabashi.tokyo.jp/bousai/douro/shidou/1006494.html","https://www.city.itabashi.tokyo.jp/bousai/douro/shidou/1006494.html",""
"3720","https://j-izumi.com/policy/3720/detail","荒川区細街路拡幅整備事業","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.arakawa.tokyo.jp/a044/machizukuridoboku/kenchikukaihatsu/jigyo.html","https://www.city.arakawa.tokyo.jp/a044/machizukuridoboku/kenchikukaihatsu/jigyo.html",""
"3734","https://j-izumi.com/policy/3734/detail","屋上緑化助成制度","","","","","40万円","★☆☆☆☆","要相談","要相談","https://www.city.itabashi.tokyo.jp/_res/projects/default_project/_page_/001/006/664/2.pdf","https://www.city.itabashi.tokyo.jp/bousai/ryokuka/josei/1006664.html | https://www.city.itabashi.tokyo.jp/_res/projects/default_project/_page_/001/006/664/2.pdf",""
"3735","https://j-izumi.com/policy/3735/detail","アスベスト分析調査補助金 板橋区アスベスト分析調査費補助金交付要綱","","","","","5万円","★☆☆☆☆","要相談","要相談","https://www.city.itabashi.tokyo.jp/bousai/kougai/kougai/1006036.html","https://www.city.itabashi.tokyo.jp/bousai/kougai/kougai/1006036.html",""
"3752","https://j-izumi.com/policy/3752/detail","外貿定期コンテナ航路等拡充支援事業","","","","","","★☆☆☆☆","要相談","要相談","https://www.pref.niigata.lg.jp/uploaded/attachment/214066.pdf","https://www.pref.niigata.lg.jp/site/kowanshinko/1356916195497.html | https://www.pref.niigata.lg.jp/uploaded/attachment/214066.pdf | https://www.pref.niigata.lg.jp/uploaded/attachment/214072.pdf",""
"3754","https://j-izumi.com/policy/3754/detail","装置設備等輸出コンテナ貨物梱包支援事業","","","","","90万円","★☆☆☆☆","要相談","要相談","https://www.pref.niigata.lg.jp/uploaded/attachment/401278.pdf","https://www.pref.niigata.lg.jp/site/kowanshinko/1356916193649.html | https://www.pref.niigata.lg.jp/uploaded/attachment/401278.pdf",""
"3755","https://j-izumi.com/policy/3755/detail","鳥取県宿泊施設魅力アップ事業補助金について","","","","","100万円","★★☆☆☆","要相談","要相談","https://www.pref.tottori.lg.jp/secure/1163010/miryokuyoukou.pdf","https://www.pref.tottori.lg.jp/265154.htm | https://www.pref.tottori.lg.jp/secure/1163010/miryokuyoukou.pdf | https://www.pref.tottori.lg.jp/secure/1163010/shinseikagamimiryoku.doc | https://www.pref.tottori.lg.jp/secure/1163010/shinseiyoushikimiryoku.docx",""
"3756","https://j-izumi.com/policy/3756/detail","荒川区私道内等の照明灯及び街路灯維持管理事業補助金","","","","","","★☆☆☆☆","要相談","要相談","https://www.city.arakawa.tokyo.jp/documents/3184/d04500003_1.pdf","https://www.city.arakawa.tokyo.jp/a043/machizukuridoboku/machizukuri/shidoshomei.html | https://www.city.arakawa.tokyo.jp/documents/3184/d04500003_1.pdf",""
"3763","https://j-izumi.com/policy/3763/detail","高知県チャレンジショップ事業費補助金交付要綱","","","","","","★☆☆☆☆","要相談","要相談","https://www.pref.kochi.lg.jp/soshiki/150401/files/2015012800102/file_20153183164618_1.pdf","https://www.pref.kochi.lg.jp/soshiki/150401/2015012800102.html | http://www.pref.kochi.lg.jp/soshiki/150401/2019021900167.html | https://www.pref.kochi.lg.jp/soshiki/150401/files/2015012800102/file_20153183164618_1.pdf | http://www.pref.kochi.lg.jp/soshiki/150401/files/2019021900167/file_2019319218346_1.docx | http://www.pref.kochi.lg.jp/soshiki/150401/files/2019021900167/file_201931921847_1.pdf",""
